// Converted from IBM/Eloquence SPR-style dictionary. Review before installing.
// Format: word<TAB>[[eSpeak phonemes]]
programmatic	[[,proUgr@'mat@k]]	// Eloquence: .2pro.0grx.1mA.0FXk
offscreen	[[,O:f'skri:n]]	// Eloquence: .2cf.1skrin
zehe	[['zeI@]]	// Eloquence: .1ze.0x
twishort	[['twI,SoUrt]]	// Eloquence: .1twI.2Sort
conenose	[['koUn,noUz]]	// Eloquence: .1kon.2noz
uproot	[[,Vp'ru:t]]	// Eloquence: .2Hp.1rut
uproots	[[,Vp'ru:ts]]	// Eloquence: .2Hp.1ruts
uprooted	[[,Vp'ru:t@d]]	// Eloquence: .2Hp.1ru.0FXd
uprooting	[[,Vp'ru:tIN]]	// Eloquence: .2Hp.1ru.0FIG
uprooter	[[,Vp'ru:t3:]]	// Eloquence: .2Hp.1ru.0FR
uprooters	[[,Vp'ru:t3:z]]	// Eloquence: .2Hp.1ru.0FRz
hemihedral	[[,hEm@'hi:dr@l]]	// Eloquence: .2hE.0mX.1hi.0drxl
synaptonemal	[[s@,napt@'ni:m@l]]	// Eloquence: .0sX.2nAp.0tX.1ni.0mxl
aramaean	[[,eIr@'mi:@n]]	// Eloquence: .2e.0rx.1mi.0Xn
welfarism	[['wEl,feIr,Iz@m]]	// Eloquence: .1wEl.2fer.2I.0zxm
vizierial	[[v@'zi:ri:@l]]	// Eloquence: .0vX.1zi.0ri.0xl
monocarp	[['mA:n@,kA:rp]]	// Eloquence: .1ma.0nx.2karp
monocarps	[['mA:n@,kA:rps]]	// Eloquence: .1ma.0nx.2karps
oncornavirus	[[,A:N'kO:rn@,vaIr@s]]	// Eloquence: .2aG.1kcr.0nx.2vY.0rxs
umbriferous	[[,Vm'brIf@r@s]]	// Eloquence: .2Hm.1brI.0fx.0rxs
welfarist	[['wEl,feIr@st]]	// Eloquence: .1wEl.2fer.0Xst
cornucopiate	[[,kO:rn@'koUpi:@t]]	// Eloquence: .2kcr.0nX.1ko.0pi.0Xt
aporobranchian	[[@,pO:r@'braNki:@n]]	// Eloquence: .0x.2pc.0rx.1brAG.0ki.0Xn
aposiopesis	[[,ap@,saI@'pi:s@s]]	// Eloquence: .2A.0px.2sY.0x.1pi.0sXs
aposiopeses	[[,ap@,saI@'pi:si:z]]	// Eloquence: .2A.0px.2sY.0x.1pi.0siz
bucuresti	[[,bu:k@'rESt]]	// Eloquence: .2bu.0kx.1rESt
dagestan	[[,dA:g@s'tA:n]]	// Eloquence: .2da.0gXs.1tan
geomancer	[['dZi:@,mans3:]]	// Eloquence: .1Ji.0x.2mAn.0sR
stereolithography	[[,stEri:oUl@'TA:gr@fi:]]	// Eloquence: .2stE.0ri.0o.0lX.1Ta.0grx.0fi
homeopathist	[[,hoUmi:'A:p@T@st]]	// Eloquence: .2ho.0mi.1a.0px.0TXst
counterattacked	[['kaUnt3:@,takt]]	// Eloquence: .1kWn.0tR.0x.2tAkt
theurgist	[['Ti:3:dZ@st]]	// Eloquence: .1Ti.0R.0JXst
barège	[[b@'rEZ]]	// Eloquence: .0bx.1rEZ
quamish	[['kwA:m@S]]	// Eloquence: .1kwa.0mXS
fasciate	[['faSi:eIt]]	// Eloquence: .1fA.0Si.0et
particularism	[[p3:'tIkj@l3:,Iz@m]]	// Eloquence: .0pR.1tI.0kyX.0lR.2I.0zxm
basophil	[['beIs@,fIl]]	// Eloquence: .1be.0sx.2fIl
calorimeter	[[,kal@'rIm@t3:]]	// Eloquence: .2kA.0lx.1rI.0mX.0FR
gerenuk	[['geIr@,nUk]]	// Eloquence: .1ger.0X.2nUk
interne	[['In,t3:n]]	// Eloquence: .1In.2tRn
yedoma	[['jEd@m@]]	// Eloquence: .1yE.0dx.0mx
kanyia	[[k@'naI@]]	// Eloquence: .0kx.1nY.0x
coloradoan	[[,kA:l@'rA:toU@n]]	// Eloquence: .2ka.0lx.1ra.0Fo.0Xn
particularity	[[p3:,tIkj@'leIr@ti:]]	// Eloquence: .0pR.2tI.0kyX.1ler.0X.0Fi
dognaping	[['dO:g,napIN]]	// Eloquence: .1dcg.2nA.0pIG
spirochete	[['spaIr@,ki:t]]	// Eloquence: .1spYr.0x.2kit
maglemosean	[[,magl@'moUsi:@n]]	// Eloquence: .2mA.0glX.1mo.0si.0Xn
homophobe	[['hoUm@,foUb]]	// Eloquence: .1ho.0mx.2fob
particularist	[[p3:'tIkj@l3:@st]]	// Eloquence: .0pR.1tI.0kyX.0lR.0Xst
polyteny	[['pA:li:,ti:ni:]]	// Eloquence: .1pa.0li.2ti.0ni
monobrow	[['mA:n@,braU]]	// Eloquence: .1ma.0nx.2brW
bitmoji	[[,bIt'moUdZi:]]	// Eloquence: .2bIt.1mo.0Ji
axonemal	[[,aks@'ni:m@l]]	// Eloquence: .2Ak.0sx.1ni.0mxl
surprisal	[[s3:'praIz@l]]	// Eloquence: .0sR.1prY.0zxl
polytene	[['pA:li:,ti:n]]	// Eloquence: .1pa.0li.2tin
propylaeum	[[,prA:p@'li:@m]]	// Eloquence: .2pra.0pX.1li.0xm
physiognomist	[[,fIzi:'A:gn@m@st]]	// Eloquence: .2fI.0zi.1ag.0nx.0mXst
physiognomists	[[,fIzi:'A:gn@m@sts]]	// Eloquence: .2fI.0zi.1ag.0nx.0mXsts
pedomorphoses	[[,pi:t@'mO:rf@si:z]]	// Eloquence: .2pi.0Fx.1mcr.0fx.0siz
samarra	[[s@'mA:r@]]	// Eloquence: .0sx.1ma.0rx
prakritic	[[,prA:'krIt@k]]	// Eloquence: .2pra.1krI.0FXk
khamenei	[[,kA:m@'neIi:]]	// Eloquence: .2ka.0mX.1ne.0i
brahmanic	[[,brA:'man@k]]	// Eloquence: .2bra.1mA.0nXk
squamose	[['skweImoUs]]	// Eloquence: .1skwe.0mos
janizary	[['dZan@,seIri:]]	// Eloquence: .1JA.0nX.2ser.0i
establishmentarian	[[@,stabl@Sm@n'teIri:@n]]	// Eloquence: .0X.2stA.0blXS.0mXn.1ter.0i.0Xn
synostotic	[[,sI,nA:'stA:t@k]]	// Eloquence: .2sI.2na.1sta.0FXk
sutsugamushi	[[,su:ts@g@'mu:Si:]]	// Eloquence: .2sut.0sx.0gx.1mu.0Si
bonaire	[[b@'neIr]]	// Eloquence: .0bx.1ner
forby	[[,fO:r'baI]]	// Eloquence: .2fcr.1bY
treehopper	[['tri:,hA:p3:]]	// Eloquence: .1tri.2ha.0pR
racemism	[['ras@,mIz@m]]	// Eloquence: .1rA.0sX.2mI.0zxm
appreciatory	[[@p'ri:Si:@,tO:ri:]]	// Eloquence: .0xp.1ri.0Si.0x.2tcr.0i
tribology	[[,traI'bA:l@dZi:]]	// Eloquence: .2trY.1bal.0x.0Ji
stockinet	[[,stA:k@'nEt]]	// Eloquence: .2sta.0kX.1nEt
sassanid	[[s@'sA:n@d]]	// Eloquence: .0sx.1sa.0nXd
sovietologist	[[,soUvi:@'tA:l@dZ@st]]	// Eloquence: .2so.0vi.0X.1tal.0x.0JXst
achenial	[[,eI'ki:ni:@l]]	// Eloquence: .2e.1ki.0ni.0xl
automatable	[['O:t@,meIt@b@l]]	// Eloquence: .1c.0Fx.2me.0Fx.0bxl
soignee	[[,swA:n'jeI]]	// Eloquence: .2swan.1ye
swammerdam	[['sA:m3:,dA:m]]	// Eloquence: .1sa.0mR.2dam
pedomorphosis	[[,pi:t@'mO:rf@s@s]]	// Eloquence: .2pi.0FX.1mcr.0fx.0sXs
macroscopical	[[,makr@'skA:p@k@l]]	// Eloquence: .2mA.0krx.1ska.0pX.0kxl
allargando	[[,A:lA:r'gA:ndoU]]	// Eloquence: .2al.0ar.1gan.0do
vodafone	[['voUt@,foUn]]	// Eloquence: .1vo.0Fx.2fon
caseated	[['keIsi:,eIt@d]]	// Eloquence: .1ke.0si.2e.0FXd
parkinsonism	[['pA:rk@ns@,nIz@m]]	// Eloquence: .1par.0kXn.0sx.2nI.0zxm
homophony	[[h@'mA:f@ni:]]	// Eloquence: .0hx.1ma.0fx.0ni
clubroom	[['klV,bru:m]]	// Eloquence: .1klH.2brum
antheses	[[,an'Ti:,si:z]]	// Eloquence: .2An.1Ti.2siz
incoordinate	[[,IN,koU'O:rt@n@t]]	// Eloquence: .2IG.2ko.1cr.0FX.0nXt
cadaverine	[[k@'dav@,ri:n]]	// Eloquence: .0kx.1dA.0vx.2rin
genteel	[[,dZEn'ti:l]]	// Eloquence: .2JEn.1til
actinon	[['akt@,nA:n]]	// Eloquence: .1Ak.0tX.2nan
monad	[['mA:,nad]]	// Eloquence: .1ma.2nAd
ingather	[['IN,gaD3:]]	// Eloquence: .1IG.2gA.0DR
mansard	[['man,sA:rd]]	// Eloquence: .1mAn.2sard
autofilled	[['O:toU,fIld]]	// Eloquence: .1c.0Fo.2fIld
ionophore	[[,aI'A:n@,fO:r]]	// Eloquence: .2Y.1a.0nx.2fcr
hydrostatically	[[,haIdr@'stat@kli:]]	// Eloquence: .2hY.0drx.1stA.0FX.0kli
flexagon	[['flEks@,gA:n]]	// Eloquence: .1flEk.0sx.2gan
petrine	[['pi:,traIn]]	// Eloquence: .1pi.2trYn
petrogenetic	[[,pEtroUdZ@'nEt@k]]	// Eloquence: .2pE.0tro.0JX.1nE.0FXk
chasuble	[['tSaz@b@l]]	// Eloquence: .1CA.0zX.0bxl
cytomembrane	[[,saIt@'mEm,breIn]]	// Eloquence: .2sY.0Fx.1mEm.2bren
silesia	[[,saI'li:Z@]]	// Eloquence: .2sY.1li.0Zx
stilliform	[['stIl@,fO:rm]]	// Eloquence: .1stI.0lX.2fcrm
astrometric	[[,astr@'mEtr@k]]	// Eloquence: .2A.0strx.1mE.0trXk
